"path","bytes","sha256","classification","lineage","duplicate_group","proposed_name","proposed_destination","disposition"
"apps/sc-agent-os/docs/ROLE_ACCESS_MATRIX.md","2974","A471D8184E544354CEF5C7CA8D272365E3203B2B9AF28B153C5FABFF12B97970","SUPPORT","origin/main baseline","","ROLE_ACCESS_MATRIX.md","apps/sc-agent-os/docs/ROLE_ACCESS_MATRIX.md","PRESERVE_IN_PLACE"
"apps/sc-agent-os/docs/SCHEMA_INSPECTION_REPORT.md","3598","2F70C85CF19A7B70C290178AEF7961EDCEA52AC09EC8F8EC3EEB6D38F26F5A4D","SUPPORT","origin/main baseline","","SCHEMA_INSPECTION_REPORT.md","apps/sc-agent-os/docs/SCHEMA_INSPECTION_REPORT.md","PRESERVE_IN_PLACE"
"apps/sc-agent-os/docs/VOICE_STATE_MACHINE_FINDINGS.md","5638","4248963B01B107D5CC12719764DB35A114A2405A54CBCE68C529B25C400A63B3","SUPPORT","origin/main baseline","","VOICE_STATE_MACHINE_FINDINGS.md","apps/sc-agent-os/docs/VOICE_STATE_MACHINE_FINDINGS.md","PRESERVE_IN_PLACE"
"apps/sc-agent-os/migrations/001_dcse_personas_additive.sql","2716","D47776CD2719223F7AF0BC7B057F36FEFE0B4EB9D77A1E845AD69254F3F893EE","ACTIVE","origin/main baseline","","001_dcse_personas_additive.sql","apps/sc-agent-os/migrations/001_dcse_personas_additive.sql","PRESERVE_IN_PLACE"
"apps/sc-agent-os/migrations/002_dcse_assets_additive.sql","3757","BA505D54A96280BF1C23C95D17175B47AED7E898ECA6B91ACEE098012D775A50","ACTIVE","origin/main baseline","","002_dcse_assets_additive.sql","apps/sc-agent-os/migrations/002_dcse_assets_additive.sql","PRESERVE_IN_PLACE"
"apps/sc-agent-os/migrations/003_dcse_persona_seeds.sql","5733","F1F0E887C84CE37DDB6210AD0BDA28889AD0831358EDC18F053975C95C2F0C6B","ACTIVE","origin/main baseline","","003_dcse_persona_seeds.sql","apps/sc-agent-os/migrations/003_dcse_persona_seeds.sql","PRESERVE_IN_PLACE"
"apps/sc-agent-os/migrations/005_supabase_security_remediation.sql","9624","1A32E0FBB1D75CABA4FA49A237C8E17DEBD9CE769DB08E59A7F7BEDAA61FEAEE","ACTIVE","origin/main baseline","","005_supabase_security_remediation.sql","apps/sc-agent-os/migrations/005_supabase_security_remediation.sql","PRESERVE_IN_PLACE"
"apps/sc-agent-os/migrations/006_move_vector_to_extensions.sql","284","D0C7B1B9D70DA3AEA67F3285CC07A4C72C3BA30E6550C262ED404FE862CA105F","ACTIVE","origin/main baseline","","006_move_vector_to_extensions.sql","apps/sc-agent-os/migrations/006_move_vector_to_extensions.sql","PRESERVE_IN_PLACE"
"apps/sc-agent-os/package.json","57","6290A2AFDF9EA2B9F90E9281BB23E3760D8D29AD8BBB656525324991C4FFEFC9","ACTIVE","origin/main baseline","","package.json","apps/sc-agent-os/package.json","PRESERVE_IN_PLACE"
"apps/sc-agent-os/vercel.json","108","92D3F54D1923436ADA0B0CBD08C17BF1F92C8B49DF232D82925A993F88E07992","ACTIVE","origin/main baseline","","vercel.json","apps/sc-agent-os/vercel.json","PRESERVE_IN_PLACE"
"CLAUDE.md","9163","CCBD41EF07B21CF5F667E3A44B753665D86E59349B8CC04A86AEB115F894D863","SUPPORT","origin/main baseline","","CLAUDE.md","CLAUDE.md","PRESERVE_IN_PLACE"
"docs/COMMUNICATION_GATE_001_QWEN_LOCAL_EXECUTION.md","2252","8B046531420BD93111A829528D26747E882B6CF8865DEFE08979287FA6AAFD7A","ARCHIVE","PR 15 / chatgpt/v7-foundation-runtime-compiler","","COMMUNICATION_GATE_001_QWEN_LOCAL_EXECUTION.md","docs/COMMUNICATION_GATE_001_QWEN_LOCAL_EXECUTION.md","PRESERVE; reference from convergence record; do not execute post-Gate-001"
"package-lock.json","94","3CAE2CCFFC57A184BE6BD71229D2FFB9DBDB855A061ECCEB372A8078C0C3BEDC","REVIEW","Untracked orphan lockfile; created 2026-07-28T02:48:31Z; no Git history","","package-lock.json","package-lock.json","PRESERVE_UNTRACKED; DO_NOT_COMMIT; DO_NOT_DELETE"
