"relative_path","classification","lane","lineage_hint","bytes","last_write_time","sha256"
"artifacts\phase2a2_ai_review_packet\phase2a2_orchestrator_review_checklist.md","REVIEW","DCSE-CP","Prior staged review/artifact lineage","1552","2026-05-11T22:25:44","AB4613829A9554FB9EF806F7138DD74EF358EBF66CE35DEE336FE5CB98934BFA"
"artifacts\phase2a2_db_governance_hardening\01_kb_sources_rls_policy_review.sql","REVIEW","DCSE-CP","Prior staged review/artifact lineage","1240","2026-05-11T23:03:30","2E8E9CC1380C370235DB1B0D9673656AFBDAB6A3292099FAD707A18F86FE722E"
"artifacts\phase2a2_db_governance_hardening\02_audit_events_schema_review.sql","REVIEW","DCSE-SS/SC","Prior staged review/artifact lineage","1984","2026-05-13T00:13:26","FFA9332C794685DD42481EBFCD10319CE53DD97739F738754778F6D64D2D1BA6"
"artifacts\phase2a2_db_governance_hardening\03_source_registration_audit_review.sql","REVIEW","DCSE-CP","Prior staged review/artifact lineage","974","2026-05-13T00:13:34","387A165A61F1BAC9973BCD3CA0A914146FA11A1C6DC679E84C9752F908EBC3FF"
"artifacts\phase2a2_db_governance_hardening\04_stop_gate_constraints_review.sql","REVIEW","DCSE-CP","Prior staged review/artifact lineage","1151","2026-05-11T22:47:39","C2CB7FF70F5F5EC0707EC3EDD21535E658A002914A048B1001CD2EFA697DAA01"
"artifacts\phase2a2_db_governance_hardening\05_agent_access_model_review.md","REVIEW","DCSE-SS/SC","Prior staged review/artifact lineage","1866","2026-05-11T22:20:35","1A5B6342EBB1A10744D9999BCC41DE03DEB6457CE7FD0CF847ED272F53EAAA95"
"artifacts\phase2a2_db_governance_hardening\06_phase2a2_verification.sql","REVIEW","DCSE-CP","Prior staged review/artifact lineage","10405","2026-05-13T00:13:47","6B0B1372481CD6CC32E3D592C978529272E462203157F52C1FE5DFD1B71D34C9"
"artifacts\phase2a2_db_governance_hardening\15_manual_backup_verification.md","SUPERSEDED","DCSE-CP","Prior staged review/artifact lineage","987","2026-05-13T00:06:45","E6CB4C752ED5740D6829F3F57936D6A14EE89F9C1A89A9AE84BF13F8CE1E3C1E"
"artifacts\phase2a2_db_governance_hardening\phase2a2_governance_hardening_report.json","REVIEW","DCSE-CP","Prior staged review/artifact lineage","904","2026-05-11T22:21:10","12BBD9F917286A1A49C5782C5CFB979B286C42F6AA1899E0D4BD9453857A7A38"
"artifacts\phase2a2_db_governance_hardening\phase2a2_governance_hardening_report.md","REVIEW","DCSE-CP","Prior staged review/artifact lineage","1633","2026-05-13T00:06:54","FD742766D6CC7670CF383FB1D6CA5B1A22219FDD136618750132252415BD14A3"
